Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 09-26,SimAccount2,,Short,2,29613.75,29582.00,7/7/2026 7:31:31 AM,7/7/2026 7:33:12 AM,Scalp_Opening_Flush_Short,Profit target,$124.40,$124.40,$2.60,$0.00,$0.00,$0.00,$0.00,$192.00,$135.00,$10.60,1,
2,MNQ 09-26,SimAccount2,,Short,1,29457.25,29445.00,7/7/2026 7:55:01 AM,7/7/2026 7:56:03 AM,Scalp_VWAP_Reclaim_Short_5m_AVWAP_bar10917,Stop loss,$23.20,$147.60,$1.30,$0.00,$0.00,$0.00,$0.00,$9.00,$62.50,$39.30,1,
3,MNQ 09-26,SimAccount2,,Short,3,29457.00,29445.00,7/7/2026 7:55:01 AM,7/7/2026 7:56:03 AM,Scalp_VWAP_Reclaim_Short_5m_AVWAP_bar10917,Stop loss,$68.10,$215.70,$3.90,$0.00,$0.00,$0.00,$0.00,$28.50,$186.00,$117.90,1,
4,MNQ 09-26,SimAccount2,,Long,4,29527.75,29529.75,7/7/2026 10:46:31 AM,7/7/2026 10:48:46 AM,Scalp_Failed_Test_Retest_Long_5m,Stop loss,$10.80,$226.50,$5.20,$0.00,$0.00,$0.00,$0.00,$56.00,$100.00,$89.20,1,
5,MNQ 09-26,Sim101,,Short,1,29263.25,29284.25,7/8/2026 7:38:08 AM,7/8/2026 7:39:11 AM,,Close,($43.30),$183.20,$1.30,$0.00,$0.00,$0.00,$0.00,$54.00,$18.50,$61.80,0,
6,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Long,1,29319.25,29304.00,7/8/2026 7:40:00 AM,7/8/2026 7:50:00 AM,EntryLong,EntryLong_GB,($31.80),$151.40,$1.30,$0.00,$0.00,$0.00,$0.00,$35.50,$159.50,$191.30,3,
7,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Short,1,29273.50,29274.75,7/8/2026 8:37:30 AM,7/8/2026 8:39:02 AM,Scalp_Failed_Test_Retest_Short_5m,Stop loss,($3.80),$147.60,$1.30,$0.00,$0.00,$0.00,$0.00,$77.00,$23.50,$27.30,1,
8,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Short,1,29273.25,29274.75,7/8/2026 8:37:30 AM,7/8/2026 8:39:02 AM,Scalp_Failed_Test_Retest_Short_5m,Stop loss,($4.30),$143.30,$1.30,$0.00,$0.00,$0.00,$0.00,$77.50,$23.00,$27.30,1,
9,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Short,2,29273.25,29275.00,7/8/2026 8:37:30 AM,7/8/2026 8:39:02 AM,Scalp_Failed_Test_Retest_Short_5m,Stop loss,($9.60),$133.70,$2.60,$0.00,$0.00,$0.00,$0.00,$155.00,$46.00,$55.60,1,
10,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Short,2,29111.25,29101.50,7/8/2026 9:46:00 AM,7/8/2026 9:48:02 AM,Scalp_Failed_Test_Retest_Short_5m,Stop loss,$36.40,$170.10,$2.60,$0.00,$0.00,$0.00,$0.00,$79.00,$121.00,$84.60,1,
11,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Short,1,29111.00,29101.50,7/8/2026 9:46:00 AM,7/8/2026 9:48:02 AM,Scalp_Failed_Test_Retest_Short_5m,Stop loss,$17.70,$187.80,$1.30,$0.00,$0.00,$0.00,$0.00,$40.00,$60.00,$42.30,1,
12,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Short,1,29111.00,29101.75,7/8/2026 9:46:00 AM,7/8/2026 9:48:02 AM,Scalp_Failed_Test_Retest_Short_5m,Stop loss,$17.20,$205.00,$1.30,$0.00,$0.00,$0.00,$0.00,$40.00,$60.00,$42.80,1,
13,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Long,3,29397.00,29399.50,7/8/2026 11:22:00 AM,7/8/2026 11:22:36 AM,Scalp_OR_Breakout_Long,Stop loss,$11.10,$216.10,$3.90,$0.00,$0.00,$0.00,$0.00,$6.00,$46.50,$35.40,1,
14,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Long,1,29397.00,29399.25,7/8/2026 11:22:00 AM,7/8/2026 11:22:36 AM,Scalp_OR_Breakout_Long,Stop loss,$3.20,$219.30,$1.30,$0.00,$0.00,$0.00,$0.00,$2.00,$15.50,$12.30,1,
15,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Long,4,29413.00,29391.25,7/8/2026 12:11:00 PM,7/8/2026 12:21:00 PM,Scalp_Failed_Test_Retest_Long_5m,Sell,($179.20),$40.10,$5.20,$0.00,$0.00,$0.00,$0.00,$240.00,$98.00,$277.20,3,
